run_id,task_id,condition,runtime_verification_mode,benchmark_suite,origin_type,difficulty,defect_category,status,succeeded,verified_success,unverified_success,full_suite_passed,hidden_suite_status,hidden_suite_configured,hidden_suite_passed,hidden_suite_test_count,hidden_verified_success,visible_hidden_disagreement,policy_failure,model_calls,decision_parse_failures,patch_rejection_count,patch_application_failure_count,verification_failure_count,failed_attempt_count,failed_attempt_ids,current_attempt_id,last_failed_attempt_id,last_rolled_back_attempt_id,last_failure_category,terminal_failure_category,steps,tool_calls,patch_attempts,successful_patch_count,elapsed_seconds,changed_file_count,changed_files,invalid_patch_count,rejected_tool_count,timeout_count,rollback_count,syntax_check_count,syntax_error_count,targeted_test_count,full_test_count,failed_test_count,finish_rejection_count,reflection_count,hypothesis_revision_count,no_progress_rejection_count,budget_exhausted,final_message
fixed-workflow-challenge-csv-record-parser-final-research-evaluation-6524a37-20260714-090253,challenge-csv-record-parser,fixed-workflow,strict,patchpilot-primary-research-benchmark,manual_challenge,hard,state_machine_parser,escalated,False,False,False,False,failed,True,False,3,False,False,True,3,2,0,0,2,1,1,,1,1,decision_parse_error,decision_parse_error,7,7,1,1,152.86659988500014,0,,0,0,0,1,1,0,0,2,2,0,0,0,0,False,"The decision policy failed safely: PolicyResponseError: The generated patch exactly repeats a previous failed patch. Revise the repair using the latest failing-test evidence. First invalid response: ```python
from typing import List

def parse_record(record: str) -> List[str]:
    """"""Parse one CSV record with commas and doubled-quote escapes.""""""
    fields: List[str] = []
    current_field = """"
    quoted = False

    for char in record:
        if char == '""':
            if quoted: Raw response: ```python
from typing import List

def parse_record(record: str) -> List[str]:
    """"""Parse one CSV record with commas and doubled-quote escapes.""""""
    fields: List[str] = []
    current_field = """"
    quoted = False

    for char in record:
        if char == '""':
            if quoted:
                # End of a quoted field
                if current_field.strip():
                    fields.append(current_field)
                current_field = """"
                quoted = False
            e"
fixed-workflow-challenge-cursor-pagination-final-research-evaluation-6524a37-20260714-090253,challenge-cursor-pagination,fixed-workflow,strict,patchpilot-primary-research-benchmark,manual_challenge,hard,cursor_state_protocol,escalated,False,False,False,False,failed,True,False,3,False,False,True,0,0,0,0,1,0,,,,,decision_parse_error,decision_parse_error,2,2,0,0,0.8516050469997936,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,False,The decision policy failed safely: PolicyResponseError: Could not locate a source file in search output.
fixed-workflow-challenge-deep-config-merge-final-research-evaluation-6524a37-20260714-090253,challenge-deep-config-merge,fixed-workflow,strict,patchpilot-primary-research-benchmark,manual_challenge,hard,recursive_data_merge,escalated,False,False,False,False,failed,True,False,3,False,False,True,3,2,0,0,2,1,1,,1,1,decision_parse_error,decision_parse_error,7,7,1,1,162.82198073499967,0,,0,0,0,1,1,0,0,2,2,0,0,0,0,False,"The decision policy failed safely: PolicyResponseError: The generated patch exactly repeats a previous failed patch. Revise the repair using the latest failing-test evidence. First invalid response: ```python
def merge_config(
    base: dict[str, Any],
    override: dict[str, Any],
) -> dict[str, Any]:
    """"""Deep-merge dictionaries without mutating either input.""""""
    result = base.copy()
    for key, value in override.items():
        current = result.get(key)
        if isinstance(current, Raw response: ```python
def merge_config(
    base: dict[str, Any],
    override: dict[str, Any],
) -> dict[str, Any]:
    """"""Deep-merge dictionaries without mutating either input.""""""
    result = base.copy()
    for key, value in override.items():
        current = result.get(key)
        if isinstance(current, dict) and isinstance(value, dict):
            result[key] = merge_config(current, value)
        elif isinstance(current, list) and isinstance(value, list):
            result[key] = current + value
"
fixed-workflow-challenge-interval-merge-final-research-evaluation-6524a37-20260714-090253,challenge-interval-merge,fixed-workflow,strict,patchpilot-primary-research-benchmark,manual_challenge,hard,multi_line_interval_logic,escalated,False,False,False,False,failed,True,False,3,False,False,True,3,2,0,0,2,1,1,,1,1,decision_parse_error,decision_parse_error,7,7,1,1,229.31633197799965,0,,0,0,0,1,1,0,0,2,2,0,0,0,0,False,"The decision policy failed safely: PolicyResponseError: The generated patch exactly repeats a previous failed patch. Revise the repair using the latest failing-test evidence. First invalid response: ```python
from typing import *
from collections import *

def merge_intervals(intervals: list[tuple[int, int]]) -> list[tuple[int, int]]:
    """"""Merge overlapping or touching closed intervals.""""""
    normalized = [(start, end) for start, end in intervals]
    if not normalized:
        return [] Raw response: ```python
from typing import *
from collections import *

def merge_intervals(intervals: list[tuple[int, int]]) -> list[tuple[int, int]]:
    """"""Merge overlapping or touching closed intervals.""""""
    normalized = [(start, end) for start, end in intervals]
    if not normalized:
        return []

    normalized.sort(key=lambda item: (item[1], item[0]))
    merged: list[tuple[int, int]] = [normalized[0]]

    for start, end in normalized[1:]:
        previous_start, previous_end = merged[-1]
    "
fixed-workflow-challenge-inventory-reservation-final-research-evaluation-6524a37-20260714-090253,challenge-inventory-reservation,fixed-workflow,strict,patchpilot-primary-research-benchmark,manual_challenge,hard,transactional_state_management,escalated,False,False,False,False,failed,True,False,3,False,False,True,3,2,0,0,2,1,1,,1,1,decision_parse_error,decision_parse_error,7,7,1,1,167.02090944299925,0,,0,0,0,1,1,0,0,2,2,0,0,0,0,False,"The decision policy failed safely: PolicyResponseError: The generated patch exactly repeats a previous failed patch. Revise the repair using the latest failing-test evidence. First invalid response: ```python
from typing import Dict, List, Tuple

def reserve_inventory(
    stock: Dict[str, int],
    requests: List[Tuple[str, int]],
) -> dict[str, int]:
    """"""Return remaining stock after atomically applying reservations.""""""
    remaining = stock.copy()  # Create a copy of the stock to avoid mut Raw response: ```python
from typing import Dict, List, Tuple

def reserve_inventory(
    stock: Dict[str, int],
    requests: List[Tuple[str, int]],
) -> dict[str, int]:
    """"""Return remaining stock after atomically applying reservations.""""""
    remaining = stock.copy()  # Create a copy of the stock to avoid mutation
    for sku, quantity in requests:
        if quantity < 0:
            raise ValueError(""requested quantities must be positive"")
        if sku not in remaining:
            raise KeyError(sku)"
fixed-workflow-challenge-ledger-reconciliation-final-research-evaluation-6524a37-20260714-090253,challenge-ledger-reconciliation,fixed-workflow,strict,patchpilot-primary-research-benchmark,manual_challenge,hard,idempotent_financial_state,escalated,False,False,False,False,failed,True,False,3,False,False,True,3,2,0,0,2,1,1,,1,1,decision_parse_error,decision_parse_error,7,7,1,1,218.05059657600032,0,,0,0,0,1,1,0,0,2,2,0,0,0,0,False,"The decision policy failed safely: PolicyResponseError: The generated patch exactly repeats a previous failed patch. Revise the repair using the latest failing-test evidence. First invalid response: ```python
from typing import Dict, Iterable

class Transfer:
    def __init__(self, transaction_id: str, source: str, destination: str, amount: int):
        self.transaction_id = transaction_id
        self.source = source
        self.destination = destination
        self.amount = amount

def rec Raw response: ```python
from typing import Dict, Iterable

class Transfer:
    def __init__(self, transaction_id: str, source: str, destination: str, amount: int):
        self.transaction_id = transaction_id
        self.source = source
        self.destination = destination
        self.amount = amount

def reconcile(
    balances: dict[str, int],
    transfers: Iterable[Transfer],
) -> dict[str, int]:
    """"""Apply unique positive transfers without mutating input balances.""""""
    result = balances.copy()
  "
fixed-workflow-challenge-rolling-rate-limit-final-research-evaluation-6524a37-20260714-090253,challenge-rolling-rate-limit,fixed-workflow,strict,patchpilot-primary-research-benchmark,manual_challenge,hard,stateful_window_algorithm,escalated,False,False,False,False,failed,True,False,3,False,False,True,2,2,0,0,1,0,,,,,decision_parse_error,decision_parse_error,3,3,0,0,1.1042742429999635,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,False,"The decision policy failed safely: PolicyResponseError: Model response contained neither a usable corrected function nor a replacement line: No valid changed lines in model diff: from collections import deque

def admit_events(
    timestamps: list[int],
    *,
    limit: int,
    window: int,
) -> list[bool]:
    """"""Return admission decisions for monotonic integer timestamps.""""""
    if limit < 0 or window < 0:
        raise ValueError(""limit and window must be positive"")

    accepted: deque[int] = deque()
    decisions: list[bool] = []

    for timestamp in timestamps:
        while accepted and accepted[0] < timestamp - window:
            accepted.popleft()

         First invalid response: ```python
from collections import deque

def admit_events(
    timestamps: list[int],
    *,
    limit: int,
    window: int,
) -> list[bool]:
    """"""Return admission decisions for monotonic integer timestamps.""""""
    if limit < 0 or window < 0:
        raise ValueError(""limit and window must be pos Raw response: ```python
from collections import deque

def admit_events(
    timestamps: list[int],
    *,
    limit: int,
    window: int,
) -> list[bool]:
    """"""Return admission decisions for monotonic integer timestamps.""""""
    if limit < 0 or window < 0:
        raise ValueError(""limit and window must be positive"")

    accepted: deque[int] = deque()
    decisions: list[bool] = []

    for timestamp in timestamps:
        while accepted and accepted[0] < timestamp - window:
            accepted.popleft()"
fixed-workflow-challenge-topological-order-final-research-evaluation-6524a37-20260714-090253,challenge-topological-order,fixed-workflow,strict,patchpilot-primary-research-benchmark,manual_challenge,hard,graph_algorithm_invariant,escalated,False,False,False,False,failed,True,False,3,False,False,True,4,3,0,0,2,1,1,,1,1,decision_parse_error,decision_parse_error,7,7,1,1,324.51167587099917,0,,0,0,0,1,1,0,0,2,2,0,0,0,0,False,"The decision policy failed safely: PolicyResponseError: The generated patch exactly repeats a previous failed patch. Revise the repair using the latest failing-test evidence. First invalid response: ```python
def dependency_order(graph: dict[str, set[str]]) -> list[str]:
    """"""Return a deterministic topological order for node prerequisites.""""""
    nodes = set(graph)
    
    dependents: dict[str, set[str]] = {node: set() for node in nodes}
    indegree = {node: 0 for node in nodes}
    for nod Raw response: ```python
def dependency_order(graph: dict[str, set[str]]) -> list[str]:
    """"""Return a deterministic topological order for node prerequisites.""""""
    nodes = set(graph)
    
    dependents: dict[str, set[str]] = {node: set() for node in nodes}
    indegree = {node: 0 for node in nodes}
    for node, prerequisites in graph.items():
        for prerequisite in prerequisites:
            dependents.setdefault(node, set()).add(prerequisite)
            indegree[prerequisite] += 1
 
    ready = [no"
fixed-workflow-mutmut-alg-mutmut-algorithms-core-x-add-mutmut-1-final-research-evaluati-a5e051214227,mutmut-alg-mutmut-algorithms-core-x-add-mutmut-1,fixed-workflow,strict,patchpilot-primary-research-benchmark,mutmut,easy,mutmut_arithmetic,succeeded,True,True,False,True,passed,True,True,8,True,False,False,1,0,0,0,1,0,,,,,test_verification_failed,,6,6,1,1,53.16997413399986,1,src/mutmut_algorithms/core.py,0,0,0,0,1,0,0,2,1,0,0,0,0,False,Full test suite passed after repair.
fixed-workflow-mutmut-alg-mutmut-algorithms-core-x-clamp-mutmut-10-final-research-evalu-3ba5b6b86b98,mutmut-alg-mutmut-algorithms-core-x-clamp-mutmut-10,fixed-workflow,strict,patchpilot-primary-research-benchmark,mutmut,easy,mutmut_constant,succeeded,True,True,False,True,failed,True,False,8,False,True,False,1,0,0,0,1,0,,,,,test_verification_failed,,6,6,1,1,74.80325598499985,1,src/mutmut_algorithms/core.py,0,0,0,0,1,0,0,2,1,0,0,0,0,False,Full test suite passed after repair.
